,Brand,Model,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Accel_sec,TopSpeed_km/h,Range_km,Efficiency_Wh,FastCharge_km/h
65,Porsche ,Taycan 4S Plus,Yes,AWD,Type 2 CCS,Sedan,F,4,109302,4.0,250,425,197,890
66,Nissan ,e-NV200 Evalia ,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,33246,14.0,123,190,200,190
67,Tesla ,Cybertruck Dual Motor,Yes,AWD,Type 2 CCS,Pickup,N,6,55000,5.0,190,460,261,710
68,Renault ,Kangoo Maxi ZE 33,No,FWD,Type 2,SPV,N,5,38000,22.4,130,160,194,0
69,Ford ,Mustang Mach-E ER AWD,Yes,AWD,Type 2 CCS,SUV,D,5,62900,6.0,180,430,209,410
70,BMW ,i3s 120 Ah,Yes,RWD,Type 2 CCS,Hatchback,B,4,41526,6.9,160,230,165,260
71,Skoda ,Enyaq iV 80X,Yes,AWD,Type 2 CCS,SUV,C,5,45000,7.0,160,400,193,540
72,Porsche ,Taycan Cross Turismo ,Yes,AWD,Type 2 CCS,Station,F,4,150000,3.5,250,385,217,770
73,Byton ,M-Byte 95 kWh 4WD,Yes,AWD,Type 2 CCS,SUV,E,5,64000,5.5,190,390,244,460
74,Sono ,Sion ,Yes,FWD,Type 2 CCS,Hatchback,C,5,25500,9.0,140,225,156,270
75,Kia ,e-Niro 39 kWh,Yes,FWD,Type 2 CCS,SUV,C,5,34400,9.8,155,235,167,230
76,Audi ,Q4 Sportback e-tron ,Yes,AWD,Type 2 CCS,SUV,D,5,57500,6.3,180,410,188,550
77,Smart ,EQ forfour ,No,RWD,Type 2,Hatchback,A,4,22030,12.7,130,95,176,0
78,Ford ,Mustang Mach-E SR AWD,Yes,AWD,Type 2 CCS,SUV,D,5,54000,6.0,180,340,206,360
79,Porsche ,Taycan Turbo,Yes,AWD,Type 2 CCS,Sedan,F,4,148301,3.2,260,390,215,810
80,Volkswagen ,ID.3 1st,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987,7.3,160,340,171,470
81,Tesla ,Model X Performance,Yes,AWD,Type 2,SUV,F,7,102990,2.8,250,440,216,480
82,Smart ,EQ fortwo coupe,No,RWD,Type 2,Hatchback,A,2,21387,11.6,130,100,167,0
83,Ford ,Mustang Mach-E SR RWD,Yes,RWD,Type 2 CCS,SUV,D,5,46900,6.6,180,360,194,380
84,Mercedes ,EQV 300 Long,Yes,FWD,Type 2 CCS,SPV,N,7,70631,10.0,140,330,273,290
85,Fiat ,500e Hatchback,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900,9.0,150,250,168,330
86,Tesla ,Cybertruck Single Motor,Yes,RWD,Type 2 CCS,Pickup,N,6,45000,7.0,180,390,256,740
87,Audi ,e-tron Sportback 50 quattro,Yes,AWD,Type 2 CCS,SUV,E,5,69551,6.8,190,295,219,470
88,Skoda ,Enyaq iV vRS,Yes,AWD,Type 2 CCS,SUV,C,5,47500,6.2,180,400,193,540
89,Skoda ,Enyaq iV 60,Yes,RWD,Type 2 CCS,SUV,C,5,37500,9.0,160,320,181,440
90,Audi ,e-tron S 55 quattro,Yes,AWD,Type 2 CCS,SUV,E,5,93800,4.5,210,320,270,510
91,Smart ,EQ fortwo cabrio,No,RWD,Type 2,Cabrio,A,2,24565,11.9,130,95,176,0
92,Kia ,e-Soul 64 kWh,Yes,FWD,Type 2 CCS,SUV,B,5,36837,7.9,167,365,175,320
93,Nissan ,Ariya e-4ORCE 87kWh,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500,5.7,200,420,207,500
94,Fiat ,500e Convertible,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900,9.0,150,250,168,330
95,Volkswagen ,ID.3 Pro Performance,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575,7.3,160,340,171,470
96,Kia ,e-Soul 39 kWh,Yes,FWD,Type 2 CCS,SUV,B,5,33133,9.9,157,230,170,220
97,Byton ,M-Byte 72 kWh 2WD,Yes,RWD,Type 2 CCS,SUV,E,5,53500,7.5,190,325,222,420
98,Nissan ,Ariya 63kWh,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000,7.5,160,330,191,440
99,Audi ,e-tron S Sportback 55 quattro,Yes,AWD,Type 2 CCS,SUV,E,5,96050,4.5,210,335,258,540
100,Nissan ,Ariya e-4ORCE 63kWh,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000,5.9,200,325,194,440
101,Nissan ,Ariya e-4ORCE 87kWh Performance,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000,5.1,200,375,232,450
102,Byton ,M-Byte 95 kWh 2WD,Yes,AWD,Type 2 CCS,SUV,E,5,62000,7.5,190,400,238,480
